"","Player","TotalRuns","Total4s","Total6s","TotalBoundaries","RunsFrom4s","RunsFrom6s","RunsFromBoundaries","PropFrom4s","PropFrom6s","PropFromBoundaries"
"1","A Bacher (SA)",679,49,0,49,196,0,196,0.288659793814433,0,0.288659793814433
"2","A Balbirnie (IRE)",0,0,0,0,0,0,0,NA,NA,NA
"3","A Brown (ENG)",3,0,0,0,0,0,0,0,0,0
"4","A Chopra (INDIA)",437,49,0,49,196,0,196,0.448512585812357,0,0.448512585812357
"5","A Coningham (AUS)",13,0,0,0,0,0,0,0,0,0
"6","A Cotter (AUS)",461,30,5,35,120,30,150,0.260303687635575,0.0650759219088937,0.325379609544469
"7","A Coxon (ENG)",19,0,0,0,0,0,0,0,0,0
"8","A D'Souza (PAK)",76,1,0,1,4,0,4,0.0526315789473684,0,0.0526315789473684
"9","A Dananjaya (SL)",88,11,0,11,44,0,44,0.5,0,0.5
"10","A Dolphin (ENG)",1,0,0,0,0,0,0,0,0,0
"11","A Ducat (ENG)",5,0,0,0,0,0,0,0,0,0
"12","A Fielder (ENG)",78,3,0,3,12,0,12,0.153846153846154,0,0.153846153846154
"13","A Flintoff (ENG)",3795,511,78,589,2044,468,2512,0.538603425559947,0.123320158102767,0.661923583662714
"14","A Flintoff (ICC)",50,2,4,6,8,24,32,0.16,0.48,0.64
"15","A Flower (ZIM)",4794,543,20,563,2172,120,2292,0.453066332916145,0.0250312891113892,0.478097622027534
"16","A Gandotra (INDIA)",54,0,0,0,0,0,0,0,0,0
"17","A Greenwood (ENG)",77,0,0,0,0,0,0,0,0,0
"18","A Habib (ENG)",26,4,0,4,16,0,16,0.615384615384615,0,0.615384615384615
"19","A Hearne (ENG)",9,0,0,0,0,0,0,0,0,0
"20","A Hill (ENG)",101,3,0,3,12,0,12,0.118811881188119,0,0.118811881188119
"21","A Hurwood (AUS)",5,0,0,0,0,0,0,0,0,0
"22","A Jackson (AUS)",474,29,0,29,116,0,116,0.244725738396624,0,0.244725738396624
"23","A Jadeja (INDIA)",576,62,3,65,248,18,266,0.430555555555556,0.03125,0.461805555555556
"24","A Kumble (INDIA)",2506,302,9,311,1208,54,1262,0.482043096568236,0.0215482841181165,0.503591380686353
"25","A Kuruvilla (INDIA)",66,0,4,4,0,24,24,0,0.363636363636364,0.363636363636364
"26","A Lyth (ENG)",265,40,1,41,160,6,166,0.60377358490566,0.0226415094339623,0.626415094339623
"27","A Maregwede (ZIM)",74,10,2,12,40,12,52,0.540540540540541,0.162162162162162,0.702702702702703
"28","A McGrath (ENG)",201,27,1,28,108,6,114,0.537313432835821,0.0298507462686567,0.567164179104478
"29","A Melville (SA)",894,71,1,72,284,6,290,0.317673378076063,0.00671140939597315,0.324384787472036
"30","A Mishra (INDIA)",648,79,3,82,316,18,334,0.487654320987654,0.0277777777777778,0.515432098765432
"31","A Mitchell (ENG)",298,0,0,0,0,0,0,0,0,0
"32","A Mithun (INDIA)",120,16,0,16,64,0,64,0.533333333333333,0,0.533333333333333
"33","A Mukund (INDIA)",320,32,1,33,128,6,134,0.4,0.01875,0.41875
"34","A Nehra (INDIA)",77,8,3,11,32,18,50,0.415584415584416,0.233766233766234,0.649350649350649
"35","A Nel (SA)",337,40,5,45,160,30,190,0.474777448071217,0.0890207715133531,0.56379821958457
"36","A Ranatunga (SL)",5059,547,39,586,2188,234,2422,0.432496540818344,0.0462542004348686,0.478750741253212
"37","A Ratra (INDIA)",163,14,0,14,56,0,56,0.343558282208589,0,0.343558282208589
"38","A Rose-Innes (SA)",14,1,0,1,4,0,4,0.285714285714286,0,0.285714285714286
"39","A Sandham (ENG)",875,37,0,37,148,0,148,0.169142857142857,0,0.169142857142857
"40","A Sanford (WI)",72,7,2,9,28,12,40,0.388888888888889,0.166666666666667,0.555555555555556
"41","A Shahzad (ENG)",5,1,0,1,4,0,4,0.8,0,0.8
"42","A Shaw (ENG)",111,7,0,7,28,0,28,0.252252252252252,0,0.252252252252252
"43","A Shrewsbury snr (ENG)",1277,90,0,90,360,0,360,0.281910728269381,0,0.281910728269381
"44","A Sidebottom (ENG)",2,0,0,0,0,0,0,0,0,0
"45","A Symonds (AUS)",1462,154,28,182,616,168,784,0.421340629274966,0.114911080711354,0.53625170998632
"46","A Turner (AUS)",768,79,2,81,316,12,328,0.411458333333333,0.015625,0.427083333333333
